Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Male,Country,GDP origin,GDP,Timestamp,Clicked on Ad,Ad Topic Line,Region,Month,DayOfWeek,Hour
41.89,38,68519.96,163.38,0,Cyprus,21046951516,-0.23,2/3/2016 4:21,1,Compatible,Europe,M2,D4,H4
76.87,27,54774.77,235.35,1,Kyrgyz Republic,6813092066,-0.25,5/29/2016 21:17,0,Configurable,Asia,M5,D1,H21
67.28,43,76246.96,155.8,1,Pakistan,3.14E+11,0.06,4/3/2016 21:13,1,Future-proofed,Asia,M4,D1,H21
81.98,40,65461.92,229.22,0,Seychelles,1490228319,-0.25,4/15/2016 11:51,0,Ameliorated,Africa,M4,D6,H11
66.01,23,34127.21,151.95,0,Samoa,843929640,-0.25,6/21/2016 3:14,1,Front-line,Oceania,M6,D3,H3
61.57,53,35253.98,125.94,1,Bulgaria,53953897624,-0.2,3/14/2016 14:13,1,Progressive,Europe,M3,D2,H14
53.3,34,44893.71,111.94,0,Mauritania,6398738829,-0.25,5/6/2016 21:07,1,Self-enabling,Africa,M5,D6,H21
34.87,40,59621.02,200.23,0,Czech Republic,62216885436,-0.19,6/12/2016 17:52,1,Configurable,Europe,M6,D1,H17
43.6,38,20856.54,170.49,0,Chile,2.49E+11,0,1/11/2016 7:36,1,Virtual,South America,M1,D2,H7
77.88,37,55353.41,254.57,0,Poland,4.7E+11,0.22,7/2/2016 0:24,0,Multi-tiered,Europe,M7,D7,H0
75.83,27,67516.07,200.59,0,Estonia,24072829277,-0.23,3/4/2016 10:13,0,Managed,Europe,M3,D6,H10
49.95,39,68737.75,136.59,0,Turkmenistan,36169428571,-0.22,3/24/2016 9:12,1,Cloned,Asia,M3,D5,H9
60.94,41,76893.84,154.97,0,Latvia,28083597512,-0.23,2/14/2016 7:30,1,Fundamental,Europe,M2,D1,H7
89.15,42,59886.58,171.07,0,Fiji,4930204220,-0.25,4/25/2016 7:30,0,Phased,Oceania,M4,D2,H7
78.7,30,53441.69,133.99,0,Turkey,73215012755,-0.18,2/10/2016 19:20,1,Compatible,Asia,M2,D4,H19
57.35,29,41356.31,119.84,0,Kazakhstan,1.37E+11,-0.12,4/23/2016 14:34,1,Distributed,Asia,M4,D7,H14
34.86,38,49942.66,154.75,0,Bahrain,32234973404,-0.22,6/18/2016 17:56,1,Pre-emptive,Asia,M6,D7,H17
70.68,31,74430.08,199.08,0,Colombia,2.83E+11,0.03,7/17/2016 1:58,0,Configurable,South America,M7,D1,H1
76.06,23,58633.63,201.04,0,Brunei Darussalam,11400854268,-0.24,4/27/2016 4:28,0,Diverse,Asia,M4,D4,H4
66.67,33,72707.87,228.03,1,Taiwan,73215012755,-0.18,4/21/2016 20:29,0,Horizontal,Asia,M4,D5,H20
46.77,32,31092.93,136.4,1,Serbia,40692643373,-0.21,3/23/2016 6:00,1,Multi-tiered,Europe,M3,D4,H6
62.42,38,74445.18,143.94,0,Saint Pierre and Miquelon,14032401568,-0.24,7/19/2016 7:59,1,Diverse,North America,M7,D3,H7
78.32,28,49309.14,239.52,0,Australia,1.21E+12,0.96,6/26/2016 11:52,1,Synergized,Oceania,M6,D1,H11
37.32,50,56735.14,199.25,1,Chad,10097778354,-0.24,3/30/2016 23:40,1,Versatile,Africa,M3,D4,H23
40.42,45,40183.75,133.9,1,Norway,3.69E+11,0.12,3/16/2016 7:59,1,Stand-alone,Europe,M3,D4,H7
76.77,36,58348.41,123.51,0,Turks and Caicos Islands,1032452000,-0.25,5/4/2016 0:01,1,Universal,North America,M5,D4,H0
65.65,30,72209.99,158.05,0,Finland,2.41E+11,-0.01,7/2/2016 21:22,0,Up-sized,Europe,M7,D7,H21
74.32,33,62060.11,128.17,0,South Africa,3.24E+11,0.07,5/23/2016 21:14,1,Monitored,Africa,M5,D2,H21
73.27,32,67113.46,234.75,1,Martinique,14032401568,-0.24,1/29/2016 20:16,0,Streamlined,North America,M1,D6,H20
80.03,44,24030.06,150.84,0,Afghanistan,18019558182,-0.24,7/23/2016 14:47,1,Automated,Asia,M7,D7,H14
53.68,47,56180.93,115.26,1,Micronesia,843929640,-0.25,2/16/2016 9:11,1,Operative,Oceania,M2,D3,H9
85.84,32,62204.93,192.85,1,French Southern Territories,843929640,-0.25,6/9/2016 21:43,0,Up-sized,Oceania,M6,D5,H21
85.03,30,60372.64,204.52,0,Philippines,3.19E+11,0.07,6/19/2016 9:24,0,Expanded,Asia,M6,D1,H9
70.44,24,65280.16,178.75,1,Algeria,1.6E+11,-0.09,6/6/2016 21:26,0,Polarized,Africa,M6,D2,H21
81.22,53,34309.24,223.09,1,San Marino,1468377272,-0.25,1/7/2016 13:25,0,Networked,Europe,M1,D5,H13
39.96,45,59610.81,146.13,1,Guernsey,62216885436,-0.19,4/15/2016 6:08,1,Enhanced,Europe,M4,D6,H6
57.05,41,50278.89,269.96,1,Sierra Leone,3674794530,-0.25,1/9/2016 3:45,1,Seamless,Africa,M1,D7,H3
42.44,56,43450.11,168.27,0,Tajikistan,6992393787,-0.25,2/10/2016 15:23,1,Profit-focused,Asia,M2,D4,H15
62.2,25,25408.21,161.16,0,Liechtenstein,6237264055,-0.25,4/24/2016 13:42,1,Cross-platform,Europe,M4,D1,H13
76.7,36,71136.49,222.25,0,Ecuador,99937696000,-0.15,6/12/2016 5:31,0,Open-source,South America,M6,D1,H5
61.22,45,63883.81,119.03,1,Switzerland,6.88E+11,0.44,1/5/2016 9:42,1,Streamlined,Europe,M1,D3,H9
84.54,33,64902.47,204.02,1,Moldova,8071469355,-0.25,3/2/2016 10:07,0,Synchronized,Europe,M3,D4,H10
46.08,30,66784.81,164.63,1,Finland,2.41E+11,-0.01,7/21/2016 10:54,1,Synergistic,Europe,M7,D5,H10
56.7,48,62784.85,123.13,0,France,2.47E+12,2.23,1/9/2016 4:53,1,Progressive,Europe,M1,D7,H4
81.03,28,63727.5,201.15,0,Venezuela,99937696000,-0.15,1/6/2016 13:20,0,Persevering,South America,M1,D4,H13
80.91,32,61608.23,231.42,0,Cuba,91370000000,-0.16,1/31/2016 4:10,0,Enterprise-wide,North America,M1,D1,H4
40.06,38,56782.18,138.68,1,Peru,1.92E+11,-0.06,6/11/2016 8:38,1,Organized,South America,M6,D7,H8
83.47,39,64447.77,226.11,0,Turkey,73215012755,-0.18,5/15/2016 20:48,0,Total,Asia,M5,D1,H20
73.84,31,42042.95,121.05,0,Albania,11861199831,-0.24,6/18/2016 17:23,1,Programmable,Europe,M6,D7,H17
74.65,28,67669.06,212.56,0,French Southern Territories,843929640,-0.25,3/17/2016 5:00,0,Robust,Oceania,M3,D5,H5
60.25,35,54875.95,109.77,0,Papua New Guinea,20759069103,-0.23,6/29/2016 13:35,1,De-engineered,Oceania,M6,D4,H13
59.21,35,73347.67,144.62,1,Liechtenstein,6237264055,-0.25,2/2/2016 8:55,1,Managed,Europe,M2,D3,H8
43.02,44,50199.77,125.22,0,Thailand,4.13E+11,0.16,4/13/2016 5:42,1,Configurable,Asia,M4,D4,H5
84.04,38,50723.67,244.55,0,Malaysia,3.01E+11,0.05,7/20/2016 9:27,0,Self-enabling,Asia,M7,D4,H9
70.66,43,63450.96,120.95,1,Mauritius,12594149441,-0.24,2/26/2016 4:57,1,Versatile,Africa,M2,D6,H4
70.58,26,56694.12,136.94,0,Algeria,1.6E+11,-0.09,2/26/2016 9:18,1,Proactive,Africa,M2,D6,H9
72.44,34,70547.16,230.14,0,Christmas Island,73215012755,-0.18,4/15/2016 14:45,0,Customizable,Asia,M4,D6,H14
40.17,26,47391.95,171.31,1,Japan,5E+12,4.77,2/1/2016 14:37,1,Visionary,Asia,M2,D2,H14
79.15,26,62312.23,203.23,0,Greenland,2707146783,-0.25,1/20/2016 19:09,0,Intuitive,North America,M1,D4,H19
44.49,53,63100.13,168,1,Sao Tome and Principe,345495615,-0.25,4/23/2016 6:28,1,Business-focused,Africa,M4,D7,H6
73.04,37,73687.5,221.79,1,Senegal,19040312815,-0.23,6/19/2016 22:26,0,Organic,Africa,M6,D1,H22
76.28,33,52686.47,254.34,0,Guadeloupe,14032401568,-0.24,2/15/2016 7:55,0,Right-sized,North America,M2,D2,H7
68.88,37,78119.5,179.58,0,Belgium,4.76E+11,0.22,2/9/2016 19:37,0,Advanced,Europe,M2,D3,H19
73.1,28,57014.84,242.37,0,Israel,3.22E+11,0.07,1/25/2016 7:52,0,Universal,Asia,M1,D2,H7
47.66,29,27086.4,156.54,0,Honduras,21717622071,-0.23,7/18/2016 11:33,1,Devolved,North America,M7,D2,H11
87.3,35,58337.18,216.87,0,Estonia,24072829277,-0.23,1/9/2016 7:28,0,Triple-buffered,Europe,M1,D7,H7
89.34,32,50216.01,177.78,1,Paraguay,36089700223,-0.22,3/21/2016 21:15,0,Object-based,South America,M3,D2,H21
81.37,26,53049.44,156.48,1,Kyrgyz Republic,6813092066,-0.25,2/15/2016 12:25,0,Business-focused,Asia,M2,D2,H12
81.67,28,62927.96,196.76,1,Mauritania,6398738829,-0.25,3/4/2016 8:48,0,Visionary,Africa,M3,D6,H8
46.37,52,32847.53,144.27,0,French Guiana,99937696000,-0.15,1/5/2016 0:02,1,De-engineered,South America,M1,D3,H0
54.88,24,32006.82,148.61,0,Northern Mariana Islands,1230000000,-0.25,5/15/2016 1:03,1,Customizable,Oceania,M5,D1,H1
40.67,35,48913.07,133.18,0,Lebanon,51147308774,-0.2,5/5/2016 9:28,1,Stand-alone,Asia,M5,D5,H9
71.76,35,69285.69,237.39,0,Saint Pierre and Miquelon,14032401568,-0.24,5/26/2016 13:18,0,Customizable,North America,M5,D5,H13
47.51,51,53700.57,130.41,1,American Samoa,671000000,-0.25,5/21/2016 1:36,1,Managed,Oceania,M5,D7,H1
75.15,22,52011,212.87,1,Austria,3.96E+11,0.14,5/4/2016 12:06,0,Universal,Europe,M5,D4,H12
56.01,26,46339.25,127.26,0,Tonga,420540179,-0.25,7/5/2016 18:59,1,Re-engineered,Oceania,M7,D3,H18
82.87,37,67938.77,213.36,0,Tonga,420540179,-0.25,6/28/2016 20:13,0,Front-line,Oceania,M6,D3,H20
45.05,42,66348.95,141.36,0,French Southern Territories,843929640,-0.25,5/5/2016 11:09,1,Digitized,Oceania,M5,D5,H11
60.53,24,66873.9,167.22,0,Serbia,40692643373,-0.21,3/25/2016 15:17,1,Organic,Europe,M3,D6,H15
50.52,31,72270.88,171.62,0,New Caledonia,8724570250,-0.25,1/23/2016 15:02,1,Function-based,Oceania,M1,D7,H15
84.71,32,61610.05,210.23,0,Taiwan,73215012755,-0.18,5/29/2016 7:29,0,Reactive,Asia,M5,D1,H7
55.2,39,76560.59,159.46,1,United States of America,14032401568,-0.24,5/30/2016 7:36,1,Exclusive,North America,M5,D2,H7
81.61,33,62667.51,228.76,0,Morocco,1.12E+11,-0.14,4/17/2016 15:46,0,Enterprise-wide,Africa,M4,D1,H15
71.55,36,75687.46,163.99,1,Suriname,3317437626,-0.25,7/20/2016 23:08,0,Inverse,South America,M7,D4,H23
82.4,36,66744.65,218.97,1,Macedonia,62216885436,-0.19,6/29/2016 3:07,0,Implemented,Europe,M6,D4,H3
73.95,35,67714.82,238.58,0,Wallis and Futuna,843929640,-0.25,4/10/2016 14:48,0,Persevering,Oceania,M4,D1,H14
72.07,31,69710.51,226.45,0,Chile,2.49E+11,0,4/16/2016 16:38,0,Grass-roots,South America,M4,D7,H16
80.39,31,66269.49,214.74,0,Gabon,14023890620,-0.24,5/3/2016 8:21,0,Fully-configurable,Africa,M5,D3,H8
65.8,25,60843.32,231.49,1,Gabon,14023890620,-0.24,3/18/2016 16:04,0,Expanded,Africa,M3,D6,H16
69.97,28,55041.6,250,0,Holy See (Vatican City State),62216885436,-0.19,5/22/2016 0:01,0,Mandatory,Europe,M5,D1,H0
52.62,50,73863.25,176.52,0,Seychelles,1490228319,-0.25,2/1/2016 20:30,1,Enterprise-wide,Africa,M2,D2,H20
39.25,39,62378.05,152.36,0,Mayotte,11892806509,-0.24,1/23/2016 17:39,1,Customer-focused,Africa,M1,D7,H17
77.56,38,63336.85,130.83,1,Uganda,29203988815,-0.22,5/19/2016 3:52,1,Right-sized,Africa,M5,D5,H3
33.52,43,42191.61,165.56,0,Cambodia,20016747754,-0.23,5/9/2016 21:54,1,Vision-oriented,Asia,M5,D2,H21
79.81,24,56194.56,178.85,1,Antigua and Barbuda,1436585185,-0.25,5/31/2016 11:44,1,Proactive,North America,M5,D3,H11
84.79,33,61771.9,214.53,0,Cameroon,33814337900,-0.22,3/30/2016 19:09,0,Managed,Africa,M3,D4,H19
82.7,35,61383.79,231.07,0,Somalia,5534000000,-0.25,1/9/2016 15:49,0,Visionary,Africa,M1,D7,H15
84.88,32,63924.82,186.48,0,Lebanon,51147308774,-0.2,4/18/2016 3:41,0,Ameliorated,Asia,M4,D2,H3
54.92,54,23975.35,161.16,0,Saint Pierre and Miquelon,14032401568,-0.24,6/13/2016 13:59,1,Extended,North America,M6,D2,H13
76.56,34,70179.11,221.53,1,Dominica,576229630,-0.25,4/23/2016 8:15,0,Universal,North America,M4,D7,H8
69.74,49,66524.8,243.37,0,Hungary,1.29E+11,-0.12,3/27/2016 16:41,0,Enhanced,Europe,M3,D1,H16
75.55,22,41851.38,169.4,0,Taiwan,73215012755,-0.18,2/19/2016 7:29,1,Upgradable,Asia,M2,D6,H7
72.19,33,61275.18,250.35,1,Saint Lucia,14032401568,-0.24,5/19/2016 11:16,0,Synchronized,North America,M5,D5,H11
84.29,41,60638.38,232.54,0,Niue,843929640,-0.25,1/27/2016 20:47,0,Re-contextualized,Oceania,M1,D4,H20
73.89,39,47160.53,110.68,0,France,2.47E+12,2.23,4/20/2016 0:41,1,Horizontal,Europe,M4,D4,H0
75.84,21,48537.18,186.98,0,Cyprus,21046951516,-0.23,2/7/2016 7:41,0,Reactive,Europe,M2,D1,H7
73.38,25,53058.91,236.19,1,French Southern Territories,843929640,-0.25,4/21/2016 9:30,0,Horizontal,Oceania,M4,D5,H9
80.72,31,68614.98,186.37,0,Costa Rica,58847016045,-0.19,4/19/2016 5:15,0,Re-engineered,North America,M4,D3,H5
62.06,44,44174.25,105,0,Austria,3.96E+11,0.14,4/12/2016 14:01,1,Adaptive,Europe,M4,D3,H14
51.5,34,67050.16,135.31,0,Zambia,20958412538,-0.23,3/15/2016 11:25,1,Configurable,Africa,M3,D3,H11
90.97,37,54520.14,180.77,0,Congo,11892806509,-0.24,2/16/2016 18:21,0,Multi-lateral,Africa,M2,D3,H18
86.78,30,54952.42,170.13,1,United States of America,14032401568,-0.24,2/18/2016 23:08,0,Fundamental,North America,M2,D5,H23
66.18,35,69476.42,243.61,0,Pitcairn Islands,843929640,-0.25,3/25/2016 8:40,0,Proactive,Oceania,M3,D6,H8
84.33,41,54989.93,240.95,0,Belize,2258500000,-0.25,3/16/2016 0:28,0,Pre-emptive,North America,M3,D4,H0
36.87,36,29398.61,195.91,0,Anguilla,14032401568,-0.24,1/28/2016 11:50,1,Self-enabling,North America,M1,D5,H11
34.78,48,42861.42,208.21,1,South Africa,3.24E+11,0.07,3/24/2016 2:01,1,Exclusive,Africa,M3,D5,H2
76.84,32,65883.39,231.59,0,Singapore,3.19E+11,0.07,3/3/2016 22:31,0,Reduced,Asia,M3,D5,H22
67.05,25,65421.39,220.92,0,Finland,2.41E+11,-0.01,2/26/2016 9:54,0,Realigned,Europe,M2,D6,H9
41.47,31,60953.93,219.79,0,Martinique,14032401568,-0.24,7/6/2016 15:56,1,Secured,North America,M7,D4,H15
80.71,26,58476.57,200.58,0,Cameroon,33814337900,-0.22,6/24/2016 5:50,0,Team-oriented,Africa,M6,D6,H5
80.09,31,66636.84,214.08,0,Sweden,5.16E+11,0.26,5/23/2016 21:00,0,Pre-emptive,Europe,M5,D2,H21
56.3,49,67430.96,135.24,1,New Caledonia,8724570250,-0.25,2/3/2016 19:12,1,Fully-configurable,Oceania,M2,D4,H19
79.36,34,57260.41,245.78,1,Bosnia and Herzegovina,16913330977,-0.24,4/28/2016 22:54,0,Profound,Europe,M4,D5,H22
86.38,40,66359.32,188.27,1,Singapore,3.19E+11,0.07,3/19/2016 14:57,0,Cross-platform,Asia,M3,D7,H14
38.94,41,57587,142.67,1,Falkland Islands (Malvinas),99937696000,-0.15,7/15/2016 9:08,1,Optional,South America,M7,D6,H9
87.26,35,63060.55,184.03,0,Bosnia and Herzegovina,16913330977,-0.24,5/12/2016 4:35,0,Multi-layered,Europe,M5,D5,H4
75.32,28,59998.5,233.6,1,Mauritius,12594149441,-0.24,1/1/2016 21:58,0,Reduced,Africa,M1,D6,H21
74.38,40,74024.61,220.05,1,Indonesia,9.32E+11,0.68,3/13/2016 13:50,0,Enhanced,Asia,M3,D1,H13
65.9,22,60550.66,211.39,0,Czech Republic,62216885436,-0.19,7/16/2016 14:13,0,De-engineered,Europe,M7,D7,H14
36.31,47,57983.3,168.92,0,Eritrea,11892806509,-0.24,4/18/2016 0:49,1,Reverse-engineered,Africa,M4,D2,H0
72.23,48,52736.33,115.35,0,Mexico,1.08E+12,0.83,7/17/2016 1:13,1,Integrated,North America,M7,D1,H1
88.12,38,46653.75,230.91,0,Gibraltar,62216885436,-0.19,2/17/2016 7:05,0,Realigned,Europe,M2,D4,H7
83.97,28,56986.73,205.5,1,Haiti,13987693739,-0.24,6/16/2016 2:33,0,Reactive,North America,M6,D5,H2
61.09,26,55336.18,131.68,1,Falkland Islands (Malvinas),99937696000,-0.15,4/9/2016 16:31,1,User-friendly,South America,M4,D7,H16
65.77,21,42162.9,218.61,1,Eritrea,11892806509,-0.24,3/18/2016 17:35,0,Function-based,Africa,M3,D6,H17
81.58,25,39699.13,199.39,0,Hong Kong,73215012755,-0.18,5/11/2016 22:02,0,Decentralized,Asia,M5,D4,H22
37.87,52,56394.82,188.56,1,Gambia,11892806509,-0.24,5/25/2016 20:10,1,Phased,Africa,M5,D4,H20
76.2,37,75044.35,178.51,0,Barbados,4832811750,-0.25,2/29/2016 19:26,0,Multi-layered,North America,M2,D2,H19
60.91,19,53309.61,184.94,0,Nauru,99723395,-0.25,6/9/2016 14:24,1,Upgradable,Oceania,M6,D5,H14
74.49,28,58996.12,237.34,0,Peru,1.92E+11,-0.06,1/30/2016 16:15,0,Persevering,South America,M1,D7,H16
73.71,23,56605.12,211.38,1,El Salvador,24191430000,-0.23,2/15/2016 5:35,0,Inverse,North America,M2,D2,H5
78.19,30,62475.99,228.81,0,Libyan Arab Jamahiriya,11892806509,-0.24,1/31/2016 6:14,0,Triple-buffered,Africa,M1,D1,H6
79.54,44,70492.6,217.68,1,Cambodia,20016747754,-0.23,1/5/2016 16:34,0,Centralized,Asia,M1,D3,H16
74.87,52,43698.53,126.97,0,Saint Barthelemy,14032401568,-0.24,5/31/2016 2:17,1,Public-key,North America,M5,D3,H2
87.09,36,57737.51,221.98,1,Reunion,11892806509,-0.24,4/21/2016 16:10,0,Synergized,Africa,M4,D5,H16
37.45,47,31281.01,167.86,0,Antigua and Barbuda,1436585185,-0.25,4/10/2016 3:30,1,Horizontal,North America,M4,D1,H3
49.84,39,45800.48,111.59,0,Samoa,843929640,-0.25,2/9/2016 7:21,1,Reduced,Oceania,M2,D3,H7
51.38,59,42362.49,158.56,0,Afghanistan,18019558182,-0.24,6/17/2016 17:11,1,Object-based,Asia,M6,D6,H17
83.4,34,66691.23,207.87,0,Azerbaijan,37867518957,-0.22,5/22/2016 21:54,0,Polarized,Asia,M5,D1,H21
38.91,33,56369.74,150.8,1,Philippines,3.19E+11,0.07,7/13/2016 7:41,1,Versatile,Asia,M7,D4,H7
62.14,41,59397.89,110.93,1,Angola,49840491178,-0.2,1/23/2016 18:59,1,Upgradable,Africa,M1,D7,H18
79.72,28,66025.11,193.8,1,Albania,11861199831,-0.24,5/20/2016 12:17,0,Configurable,Europe,M5,D6,H12
73.3,36,68211.35,135.72,1,Hungary,1.29E+11,-0.12,1/30/2016 4:38,1,Adaptive,Europe,M1,D7,H4
69.11,42,73608.99,231.48,1,Faroe Islands,2813286391,-0.25,4/21/2016 12:34,0,Face-to-face,Europe,M4,D5,H12
71.9,54,61228.96,140.15,1,Czech Republic,62216885436,-0.19,4/22/2016 20:32,1,Inverse,Europe,M4,D6,H20
72.45,29,72325.91,195.36,1,Svalbard & Jan Mayen Islands,62216885436,-0.19,1/11/2016 6:02,0,Centralized,Europe,M1,D2,H6
77.07,40,44559.43,261.02,0,Afghanistan,18019558182,-0.24,3/1/2016 10:01,0,Face-to-face,Asia,M3,D3,H10
74.62,36,73207.15,217.79,0,Rwanda,8690878328,-0.25,4/4/2016 8:19,0,Self-enabling,Africa,M4,D2,H8
82.07,25,46722.07,205.38,1,Panama,57907700000,-0.2,6/20/2016 6:30,0,Function-based,North America,M6,D2,H6
58.6,50,45400.5,113.7,0,Samoa,843929640,-0.25,1/28/2016 7:10,1,Organic,Oceania,M1,D5,H7
36.08,45,41417.27,151.47,1,United States Minor Outlying Islands,14032401568,-0.24,7/3/2016 4:11,1,Automated,North America,M7,D1,H4
79.44,26,60845.55,206.79,0,Greece,1.93E+11,-0.06,5/15/2016 13:18,0,Public-key,Europe,M5,D1,H13
41.73,47,60812.77,144.71,0,Cote d'Ivoire,47964234560,-0.21,4/8/2016 22:48,1,Proactive,Africa,M4,D6,H22
73.19,25,64267.88,203.74,1,Pakistan,3.14E+11,0.06,1/19/2016 12:18,0,Cloned,Asia,M1,D3,H12
77.6,24,58151.87,197.33,1,Anguilla,14032401568,-0.24,5/26/2016 15:40,0,Open-architected,North America,M5,D5,H15
89,37,52079.18,222.26,1,Cyprus,21046951516,-0.23,1/26/2016 15:56,0,Devolved,Europe,M1,D3,H15
69.2,42,26023.99,123.8,0,Peru,1.92E+11,-0.06,6/17/2016 9:58,1,Balanced,South America,M6,D6,H9
67.56,31,62318.38,125.45,0,Kenya,74815121315,-0.18,4/25/2016 21:15,1,Seamless,Africa,M4,D2,H21
81.11,39,56216.57,248.19,1,Chad,10097778354,-0.24,7/13/2016 11:41,0,Total,Africa,M7,D4,H11
80.22,30,61806.31,224.58,0,Kyrgyz Republic,6813092066,-0.25,7/5/2016 15:14,0,Integrated,Asia,M7,D3,H15
43.63,41,51662.24,123.25,1,Albania,11861199831,-0.24,3/15/2016 14:06,1,Exclusive,Europe,M3,D3,H14
77.66,29,67080.94,168.15,0,Gabon,14023890620,-0.24,6/19/2016 22:08,0,Operative,Africa,M6,D1,H22
74.63,26,51975.41,235.99,1,Dominican Republic,75704720190,-0.18,7/5/2016 20:16,0,Enhanced,North America,M7,D3,H20
49.67,27,28019.09,153.69,0,Zimbabwe,20548678070,-0.23,5/9/2016 8:44,1,Face-to-face,Africa,M5,D2,H8
80.59,37,67744.56,224.23,0,Croatia,52397494687,-0.2,7/21/2016 23:14,0,Robust,Europe,M7,D5,H23
83.49,33,66574,190.75,1,Cambodia,20016747754,-0.23,6/3/2016 17:32,0,Polarized,Asia,M6,D6,H17
44.46,42,30487.48,132.66,1,Mongolia,11181350461,-0.24,1/15/2016 19:40,1,Intuitive,Asia,M1,D6,H19
68.1,40,74903.41,227.73,1,Honduras,21717622071,-0.23,2/5/2016 16:50,0,Reactive,North America,M2,D6,H16
63.88,38,19991.72,136.85,0,Madagascar,11848613735,-0.24,2/29/2016 23:56,1,Upgradable,Africa,M2,D2,H23
78.83,36,66050.63,234.64,1,Qatar,1.52E+11,-0.1,5/8/2016 12:08,0,Future-proofed,Asia,M5,D1,H12
79.97,44,70449.04,216,0,China,1.12E+13,11.02,7/13/2016 1:48,0,Programmable,Asia,M7,D4,H1
80.51,28,64008.55,200.28,1,Bangladesh,2.65E+11,0.01,1/8/2016 2:34,0,Robust,Asia,M1,D6,H2
62.26,26,70203.74,202.77,0,Swaziland,11892806509,-0.24,6/8/2016 12:25,0,Public-key,Africa,M6,D4,H12
66.99,47,27262.51,124.44,1,Tanzania,49774004999,-0.2,6/15/2016 11:56,1,Operative,Africa,M6,D4,H11
71.05,20,49544.41,204.22,1,Eritrea,11892806509,-0.24,6/13/2016 22:41,0,Self-enabling,Africa,M6,D2,H22
42.05,51,28357.27,174.55,1,Canada,1.53E+12,1.28,6/20/2016 14:20,1,Configurable,North America,M6,D2,H14
50.52,28,66929.03,219.69,0,Saint Kitts and Nevis,14032401568,-0.24,4/3/2016 6:17,1,Versatile,North America,M4,D1,H6
76.24,40,75524.78,198.32,1,Burkina Faso,12833363370,-0.24,5/31/2016 23:42,0,Managed,Africa,M5,D3,H23
77.29,27,66265.34,201.24,1,Tuvalu,41629497,-0.25,2/15/2016 3:43,0,Grass-roots,Oceania,M2,D2,H3
35.98,47,55993.68,165.52,1,El Salvador,24191430000,-0.23,3/10/2016 23:26,1,Focused,North America,M3,D5,H23
84.95,34,56379.3,230.36,0,Madagascar,11848613735,-0.24,2/26/2016 17:01,0,Mandatory,Africa,M2,D6,H17
39.34,43,31215.88,148.93,0,Bangladesh,2.65E+11,0.01,4/17/2016 21:39,1,Proactive,Asia,M4,D1,H21
87.23,29,51015.11,202.12,0,American Samoa,671000000,-0.25,3/26/2016 19:54,0,Re-engineered,Oceania,M3,D7,H19
57.24,52,46473.14,117.35,1,Latvia,28083597512,-0.23,6/29/2016 21:39,1,Profound,Europe,M6,D4,H21
81.58,41,55479.62,248.16,0,Moldova,8071469355,-0.25,1/27/2016 17:55,0,Cloned,Europe,M1,D4,H17
56.34,50,68713.7,139.02,1,Anguilla,14032401568,-0.24,3/17/2016 23:39,1,Multi-channeled,North America,M3,D5,H23
48.73,27,34191.23,142.04,0,Bangladesh,2.65E+11,0.01,7/9/2016 16:23,1,Versatile,Asia,M7,D7,H16
51.68,49,51067.54,258.62,0,Faroe Islands,2813286391,-0.25,6/28/2016 12:51,1,Seamless,Europe,M6,D3,H12
35.34,45,46693.76,152.86,0,Taiwan,73215012755,-0.18,6/18/2016 16:32,1,De-engineered,Asia,M6,D7,H16
48.09,33,19345.36,180.42,0,Heard Island and McDonald Islands,843929640,-0.25,5/28/2016 12:38,1,Balanced,Oceania,M5,D7,H12
78.68,29,66225.72,208.05,0,Israel,3.22E+11,0.07,1/16/2016 16:40,0,Inverse,Asia,M1,D7,H16
68.82,20,38609.2,205.64,1,Bolivia,33941126200,-0.22,7/11/2016 15:45,0,Cross-platform,South America,M7,D2,H15
56.99,40,37713.23,108.15,0,Bahamas,14032401568,-0.24,7/16/2016 23:08,1,Sharable,North America,M7,D7,H23
86.63,39,63764.28,209.64,1,Costa Rica,58847016045,-0.19,4/6/2016 21:20,0,Face-to-face,North America,M4,D4,H21
41.18,43,41866.55,129.25,1,Myanmar,60291736894,-0.19,7/5/2016 0:54,1,Enterprise-wide,Asia,M7,D3,H0
71.03,32,57846.68,120.85,0,Netherlands Antilles,14032401568,-0.24,2/17/2016 23:47,1,Advanced,North America,M2,D4,H23
72.92,29,69428.73,217.1,1,Czech Republic,62216885436,-0.19,3/15/2016 17:33,0,Customizable,Europe,M3,D3,H17
77.14,24,60283.98,184.88,1,Iceland,20793168031,-0.23,1/21/2016 18:51,0,Horizontal,Europe,M1,D5,H18
60.7,43,79332.33,192.6,1,Palau,298300000,-0.25,6/6/2016 22:41,0,Multi-tiered,Oceania,M6,D2,H22
34.3,41,53167.68,160.74,1,Libyan Arab Jamahiriya,11892806509,-0.24,5/16/2016 14:50,1,Re-contextualized,Africa,M5,D2,H14
83.71,45,64564.07,220.48,1,Kazakhstan,1.37E+11,-0.12,4/17/2016 19:10,0,Organized,Asia,M4,D1,H19
53.38,35,60803.37,120.06,1,French Guiana,99937696000,-0.15,3/30/2016 1:05,1,Total,South America,M3,D4,H1
58.03,31,28387.42,129.33,0,Tuvalu,41629497,-0.25,6/29/2016 9:04,1,User-friendly,Oceania,M6,D4,H9
